food,serving_desc,serving_g,calories,protein_g,fat_g,carbs_g,fiber_g,iron_mg,calcium_mg,vitamin_c_mg,category,cuisine,aliases
roti,1 medium roti,40,105,3.1,0.9,20.5,2.8,1.0,10,0,grain,indian,chapati|phulka|whole wheat roti
paratha,1 plain paratha,60,180,3.6,7.5,24.0,3.0,1.2,15,0,grain,indian,plain paratha
naan,1 naan,90,260,7.5,5.0,45.0,2.0,1.5,40,0,grain,indian,butter naan
white rice cooked,1 katori,150,195,4.0,0.4,44.0,0.6,0.3,10,0,grain,indian,rice|steamed rice|plain rice
brown rice cooked,1 katori,150,165,3.7,1.2,34.0,2.7,0.6,10,0,grain,indian,
poha,1 plate,180,250,4.5,7.0,42.0,2.5,3.0,15,5,grain,indian,flattened rice|beaten rice
upma,1 plate,180,230,5.5,8.0,34.0,2.5,1.0,20,3,grain,indian,rava upma
idli,2 idlis,120,140,4.5,0.6,29.0,1.5,0.6,15,0,grain,indian,idly
dosa,1 plain dosa,100,170,3.5,6.0,25.0,1.2,0.8,10,0,grain,indian,plain dosa
masala dosa,1 masala dosa,180,300,5.5,10.0,46.0,3.0,1.5,25,8,grain,indian,
oats cooked,1 bowl,200,150,5.0,3.0,25.0,3.8,1.7,80,0,grain,international,oatmeal|porridge
bread whole wheat,2 slices,60,150,6.0,2.0,27.0,3.6,1.6,50,0,grain,international,brown bread|whole wheat bread
bread white,2 slices,60,160,5.0,2.0,30.0,1.4,1.8,80,0,grain,international,white bread
pasta cooked,1 plate,200,260,9.5,1.5,50.0,3.0,1.2,15,0,grain,international,spaghetti|penne
quinoa cooked,1 bowl,185,220,8.0,3.5,39.0,5.2,2.8,30,0,grain,international,
dal toor cooked,1 katori,150,140,7.5,3.0,20.0,4.0,1.5,25,1,legume,indian,dal|toor dal|arhar dal|dal tadka
dal moong cooked,1 katori,150,125,8.0,1.5,19.0,4.5,1.4,20,1,legume,indian,moong dal|green gram dal
dal masoor cooked,1 katori,150,130,8.0,2.0,19.5,4.2,1.9,20,1,legume,indian,masoor dal|red lentil
chana masala,1 katori,160,210,8.5,8.0,26.0,6.5,2.5,50,6,legume,indian,chole|chickpea curry|chana
